Season,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2023,"Bryson Worrell","ATL","A",24,237,0.315789473,0.82,0.201754385,0.359649122,0.438596491,0.3,0.12,0.48333333,0.26666667,0.25,0.15811088,388,586,974,"sa3019897"
2022,"E.J. Exposito","ATL","A",21,114,0.292307692,0.6,0.164179104,0.313432835,0.522388059,0.171428571,0.085714285,0.42647059,0.35294118,0.22058824,0.11513859,201,268,469,"sa3019900"
2023,"E.J. Exposito","ATL","A",22,449,0.294117647,0.7008547,0.174273858,0.340248962,0.485477178,0.094017094,0.068376068,0.43089431,0.30487805,0.26422764,0.13512035,707,1121,1828,"sa3019900"
2022,"Bubba Alleyne","LAD","A",23,143,0.306818181,1.117647058,0.172413793,0.436781609,0.390804597,0.176470588,0.088235294,0.54945055,0.21978022,0.23076923,0.13819578,196,325,521,"sa3019902"
2022,"Justin Janas","ATL","A",21,93,0.295081967,3.083333333,0.196721311,0.606557377,0.196721311,0,0.083333333,0.33870968,0.29032258,0.37096774,0.11661808,120,223,343,"sa3019903"
2023,"Justin Janas","ATL","A",22,325,0.357142857,1.78125,0.242553191,0.485106382,0.272340425,0.140625,0.046875,0.46058091,0.27385892,0.26556017,0.08195364,483,725,1208,"sa3019903"
2023,"Nick Clarno","ATL","A",25,249,0.20610687,0.486486486,0.153846153,0.276923076,0.569230769,0.297297297,0.054054054,0.40740741,0.31851852,0.27407407,0.14503043,384,602,986,"sa3019904"
2022,"Nacho Alvarez Jr.","ATL","A",19,71,0.357142857,2.5,0.166666666,0.595238095,0.238095238,0.1,0,0.28571429,0.30952381,0.4047619,0.03067485,155,171,326,"sa3019905"
2022,"Javier Vaz","KCR","A",21,121,0.294117647,1.028571428,0.164705882,0.423529411,0.411764705,0.085714285,0.028571428,0.37209302,0.24418605,0.38372093,0.03821656,207,264,471,"sa3019906"
2022,"Taylor Young","LAD","A",23,137,0.367088607,1.133333333,0.189873417,0.430379746,0.379746835,0.133333333,0.066666666,0.43209877,0.2345679,0.33333333,0.04823151,295,327,622,"sa3019907"
2023,"Andrew Keck","ATL","A",23,122,0.269841269,1.08,0.147540983,0.44262295,0.409836065,0.2,0.08,0.32835821,0.31343284,0.35820896,0.11195446,222,305,527,"sa3019908"
2024,"Noah Williams","ATL","A",20,104,0.283333333,1.421052631,0.233333333,0.45,0.316666666,0.157894736,0,0.33333333,0.15,0.51666667,0.12895377,163,248,411,"sa3019909"
2022,"Chad Castillo","PHI","A",22,97,0.303571428,1.210526315,0.25,0.410714285,0.339285714,0,0.157894736,0.37288136,0.25423729,0.37288136,0.1875,114,254,368,"sa3019916"
2023,"Chad Castillo","PHI","A",23,285,0.284090909,1.344827586,0.260869565,0.423913043,0.315217391,0.120689655,0.189655172,0.40957447,0.28723404,0.30319149,0.17920792,370,640,1010,"sa3019916"
2022,"Caleb Ricketts","PHI","A",22,94,0.375,3.111111111,0.274509803,0.549019607,0.176470588,0.111111111,0.333333333,0.57692308,0.15384615,0.26923077,0.12228261,139,229,368,"sa3019917"
2023,"Caleb Ricketts","PHI","A",23,100,0.414634146,1.035714285,0.304878048,0.353658536,0.341463414,0.178571428,0.035714285,0.37349398,0.28915663,0.3373494,0.07449857,120,229,349,"sa3019917"
2022,"Cade Fergus","PHI","A",21,115,0.3,0.55,0.243902439,0.268292682,0.487804878,0.4,0.2,0.52272727,0.29545455,0.18181818,0.20399113,174,277,451,"sa3019919"
2023,"Cade Fergus","PHI","A",22,261,0.360655737,0.811320754,0.261538461,0.33076923,0.407692307,0.207547169,0.226415094,0.44029851,0.32835821,0.23134328,0.18581419,382,619,1001,"sa3019919"
2022,"Drake Baldwin","ATL","A",21,101,0.33898305,0.73076923,0.237288135,0.322033898,0.440677966,0.076923076,0,0.42372881,0.3559322,0.22033898,0.09592326,189,228,417,"sa3019920"
2022,"Troy Schreffler","PHI","A",21,106,0.305084745,2.266666666,0.183333333,0.566666666,0.25,0.133333333,0.066666666,0.27868852,0.26229508,0.45901639,0.12751678,163,284,447,"sa3019921"
2023,"Troy Schreffler","PHI","A",22,148,0.34117647,2.3,0.266666666,0.511111111,0.222222222,0.15,0.3,0.42857143,0.26373626,0.30769231,0.10732538,240,347,587,"sa3019921"
2022,"Jack Brannigan","PIT","A",21,112,0.265625,0.612903225,0.23076923,0.292307692,0.476923076,0.225806451,0.096774193,0.39705882,0.27941176,0.32352941,0.0988764,160,285,445,"sa3019922"
2023,"Jack Brannigan","PIT","A",22,201,0.336633663,0.97368421,0.285714285,0.352380952,0.361904761,0.157894736,0.184210526,0.51851852,0.2037037,0.27777778,0.10414201,334,511,845,"sa3019922"
2022,"Eric Brown Jr.","MIL","A",21,100,0.292307692,1.5,0.153846153,0.507692307,0.338461538,0.227272727,0.136363636,0.55882353,0.16176471,0.27941176,0.07449857,143,206,349,"sa3019923"
2023,"Matthew Wood","MIL","A",22,109,0.328125,0.580645161,0.257575757,0.272727272,0.469696969,0.193548387,0.096774193,0.41791045,0.32835821,0.25373134,0.03837472,217,226,443,"sa3019924"
2022,"Jordan Sprinkle","CHW","A",21,101,0.295774647,1.037037037,0.20289855,0.405797101,0.391304347,0.333333333,0.037037037,0.42465753,0.24657534,0.32876712,0.13196481,116,225,341,"sa3019925"
2023,"Jordan Sprinkle","CHW","A",22,323,0.305418719,1.058823529,0.137931034,0.443349753,0.418719211,0.270588235,0.035294117,0.5410628,0.1884058,0.2705314,0.14590444,425,747,1172,"sa3019925"
2023,"Brett Roberts","MIA","A",22,373,0.334586466,1.306818181,0.239700374,0.43071161,0.329588014,0.306818181,0.056818181,0.4981685,0.23076923,0.27106227,0.11535581,458,877,1335,"sa3019926"
2022,"Robert Moore","MIL","A",20,125,0.329113924,0.909090909,0.222222222,0.37037037,0.407407407,0.212121212,0.09090909,0.48780488,0.31707317,0.19512195,0.11016949,186,286,472,"sa3019928"
2023,"Tayden Hall","MIL","A",20,217,0.343283582,1.525,0.234848484,0.462121212,0.303030303,0.2,0,0.35074627,0.28358209,0.36567164,0.07142857,394,474,868,"sa3019929"
2024,"Tayden Hall","MIL","A",21,100,0.462686567,2,0.363636363,0.424242424,0.212121212,0,0,0.46268657,0.25373134,0.28358209,0.06393862,164,227,391,"sa3019929"
2024,"Satchell Norman","MIL","A",21,90,0.272727272,1.263157894,0.218181818,0.436363636,0.345454545,0.315789473,0,0.47272727,0.23636364,0.29090909,0.11716621,144,223,367,"sa3019930"
2022,"Jackson Loftin","HOU","A",22,91,0.24,1,0.306122448,0.346938775,0.346938775,0.588235294,0.117647058,0.61538462,0.07692308,0.30769231,0.1433121,110,204,314,"sa3019931"
2023,"Jackson Loftin","HOU","A",23,450,0.255474452,0.684210526,0.19133574,0.328519855,0.480144404,0.285714285,0.067669172,0.4664311,0.24381625,0.28975265,0.10541642,660,1057,1717,"sa3019931"
2024,"Logan Wagner","LAD","A",20,164,0.308641975,0.81081081,0.220930232,0.348837209,0.430232558,0.243243243,0.162162162,0.50574713,0.25287356,0.24137931,0.09237537,298,384,682,"sa3019932"
2024,"Reece Walling","MIL","A",20,200,0.25,0.9,0.25490196,0.352941176,0.392156862,0.175,0.075,0.40566038,0.29245283,0.30188679,0.15355805,336,465,801,"sa3019933"
2022,"Jacob Burke","CHW","A",21,92,0.350877192,1.09090909,0.192982456,0.421052631,0.385964912,0.227272727,0.045454545,0.43103448,0.24137931,0.32758621,0.12462006,111,218,329,"sa3019934"
2023,"Jacob Burke","CHW","A",22,149,0.4,0.617021276,0.173913043,0.315217391,0.510869565,0.212765957,0.085106382,0.4,0.29473684,0.30526316,0.13513514,214,378,592,"sa3019934"
2022,"Collin Price","HOU","A",22,70,0.372093023,1.384615384,0.295454545,0.409090909,0.295454545,0.384615384,0.153846153,0.42222222,0.33333333,0.24444444,0.09765625,100,156,256,"sa3019935"
2023,"Drake Logan","CHW","A",22,370,0.409395973,1.711111111,0.181208053,0.516778523,0.302013422,0.133333333,0.088888888,0.33986928,0.30065359,0.35947712,0.16307893,600,933,1533,"sa3019936"
2024,"Drake Logan","CHW","A",23,217,0.420560747,0.975,0.261682242,0.364485981,0.373831775,0.25,0.05,0.4587156,0.23853211,0.30275229,0.17954816,309,532,841,"sa3019936"
2022,"Zach Cole","HOU","A",21,117,0.29032258,1.315789473,0.301587301,0.396825396,0.301587301,0.157894736,0.105263157,0.421875,0.328125,0.25,0.15800866,195,267,462,"sa3019937"
2023,"Zach Cole","HOU","A",22,312,0.38095238,0.786885245,0.296774193,0.309677419,0.393548387,0.13114754,0.180327868,0.39490446,0.33121019,0.27388535,0.13722268,495,722,1217,"sa3019937"
2023,"John McHenry","WSN","A",22,167,0.272727272,0.765957446,0.161616161,0.363636363,0.474747474,0.191489361,0.042553191,0.48514851,0.27722772,0.23762376,0.07932011,309,397,706,"sa3019938"
2024,"John McHenry","WSN","A",23,119,0.169491525,0.580645161,0.183333333,0.3,0.516666666,0.064516129,0.096774193,0.4,0.27692308,0.32307692,0.15631263,195,304,499,"sa3019938"
2023,"Ryan Leitch","PHI","A",21,178,0.329896907,1.027027027,0.27184466,0.368932038,0.3592233,0.135135135,0.189189189,0.39047619,0.25714286,0.35238095,0.19469027,244,434,678,"sa3019943"
