Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,"Bradley Keller","ATL","A",19,53,180,191,31,14,13,1,3,21,16,8,0,75,1,1,1,1,2,2,0.172222222,"sa875660"
2017,"Bradley Keller","ATL","A",20,25,80,90,13,4,7,0,2,8,6,5,0,37,3,1,1,1,1,0,0.1625,"sa875660"
2016,"Austin Bossart","PHI","A",22,30,99,112,26,20,5,0,1,18,9,8,0,12,3,0,2,2,0,0,0.262626262,"sa875667"
2016,"Ricky Eusebio","SEA","A",22,111,383,434,89,66,15,2,6,47,39,37,1,87,8,0,6,7,6,7,0.232375979,"sa875678"
2016,"Ian Sagdal","WSN","A",23,108,409,454,124,79,30,5,10,71,59,36,0,90,4,4,1,4,6,2,0.303178484,"sa875695"
2016,"Ryan Howell","OAK","A",23,107,342,411,74,43,22,2,7,48,22,61,1,116,6,0,2,5,2,3,0.216374269,"sa875706"
2016,"Tyler Sanchez","TEX","A",23,86,293,350,82,54,18,0,10,42,56,38,0,70,14,4,1,3,3,3,0.279863481,"sa875721"
2016,"Drew Turbin","BAL","A",23,100,317,369,67,49,10,2,6,36,31,39,0,90,9,2,2,5,2,2,0.211356466,"sa875724"
2019,"Ryan Vega","LAA","A",22,33,112,126,24,17,5,1,1,11,9,10,0,27,3,0,1,2,5,1,0.214285714,"sa875727"
2016,"Chad De La Guerra","BOS","A",23,66,240,279,60,47,8,4,1,40,20,31,0,57,2,4,2,1,7,2,0.25,"sa875729"
2018,"J.D. Williams","CIN","A",21,46,145,174,37,30,4,3,0,29,15,20,0,36,4,3,2,3,8,4,0.255172413,"sa875735"
2016,"Chris Keck","COL","A",23,60,199,235,40,21,10,1,8,28,22,28,0,64,6,2,0,1,4,3,0.201005025,"sa875748"
2017,"James Nelson","MIA","A",19,102,395,432,122,81,31,3,7,41,59,26,1,106,5,6,0,10,6,2,0.308860759,"sa875753"
2018,"Branden Becker","BAL","A",21,93,341,373,93,74,15,0,4,40,41,24,0,76,5,2,0,7,1,1,0.272727272,"sa875755"
2016,"Anthony Miller","CLE","A",21,102,339,383,66,40,13,2,11,33,35,32,3,148,9,3,0,2,1,0,0.194690265,"sa875767"
2016,"Joey Havrilak","DET","A",24,23,75,88,20,15,3,2,0,9,10,9,1,32,1,2,1,1,4,1,0.266666666,"sa875775"
2018,"Josh Rolette","CLE","A",22,56,170,203,43,28,11,0,4,15,21,28,1,57,2,3,0,2,1,0,0.252941176,"sa875776"
2019,"Josh Rolette","CLE","A",23,64,202,239,37,23,12,1,1,15,27,29,0,62,3,4,1,2,0,1,0.183168316,"sa875776"
2016,"Stephen Dezzi","ARI","A",23,17,62,71,14,13,0,1,0,5,7,7,1,14,0,1,1,2,0,1,0.225806451,"sa875781"
2016,"Scott Burcham","COL","A",23,61,207,237,56,38,15,1,2,25,22,19,0,51,2,2,7,2,7,4,0.2705314,"sa875782"
2016,"Alan Garcia","SDP","A",19,52,180,191,40,33,6,0,1,13,6,7,0,53,0,1,3,3,0,0,0.222222222,"sa875788"
2017,"Ryan McCarvel","STL","A",22,94,343,390,79,39,21,3,16,50,53,41,1,113,2,4,0,7,1,4,0.230320699,"sa875799"
2016,"James Vasquez","CIN","A",23,130,475,529,106,71,20,1,14,46,66,43,0,92,7,4,0,10,2,1,0.223157894,"sa875804"
2017,"James Vasquez","CIN","A",24,47,161,182,38,23,10,0,5,21,26,15,1,23,3,3,0,5,0,1,0.236024844,"sa875804"
2018,"Devin Davis","TBR","A",21,96,342,385,97,74,17,0,6,31,47,30,0,67,7,5,1,5,1,1,0.28362573,"sa875805"
2016,"Jonathan Morales","ATL","A",21,113,424,462,114,85,25,0,4,49,55,25,0,55,5,6,2,8,3,4,0.268867924,"sa875808"
2016,"Grant Massey","CHW","A",23,110,401,441,103,79,21,2,1,42,41,24,0,85,4,6,6,14,13,4,0.256857855,"sa875816"
