#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
329,Mike Zunino,2 Tms,1711,7.50%,36.40%,0.21,0.204,0.276,0.44,0.716,0.236,2.2,0.263,-4.1,1.6,-3.9,-0.6,190,-17,0.305,95
330,Ryon Healy,3 Tms,1323,4.80%,22.40%,0.21,0.251,0.289,0.435,0.724,0.183,1.3,0.286,-5.1,-3.2,-4.8,-1.1,148,-11.6,0.308,95
331,Andy Ibáñez,2 Tms,1027,6.10%,18.30%,0.34,0.256,0.305,0.396,0.701,0.14,3.8,0.296,-0.7,1.1,0,-1.4,115,-7.7,0.305,95
332,Tony Kemp,3 Tms,2101,10.10%,12.90%,0.79,0.239,0.327,0.354,0.681,0.115,5.2,0.261,1.1,2.9,1.4,1.6,229,-22.3,0.302,95
333,Luis Rengifo,LAA,1962,7.00%,18.50%,0.38,0.253,0.312,0.395,0.707,0.142,5,0.289,5.5,0.7,7.7,-2,224,-11.8,0.308,95
334,Eduardo Núñez,2 Tms,993,3.40%,12.40%,0.28,0.288,0.315,0.423,0.738,0.135,4.9,0.311,-3.8,-2.1,-5.1,1.8,118,-0.6,0.317,95
335,Matt Beaty,4 Tms,675,7.00%,16.70%,0.42,0.247,0.323,0.394,0.717,0.147,5,0.277,-1.3,-0.9,-0.1,0,80,-2.9,0.312,94
336,José Pirela,2 Tms,841,7.00%,19.90%,0.35,0.263,0.318,0.404,0.722,0.141,4.5,0.315,-3.1,-0.6,0.2,-1,97,-3.6,0.312,94
337,Amed Rosario,5 Tms,3713,4.30%,19.60%,0.22,0.273,0.308,0.398,0.706,0.125,6.5,0.327,7.8,-5,15.7,3.2,410,-35.1,0.304,94
338,Jon Berti,2 Tms,722,10.90%,24.20%,0.45,0.247,0.341,0.362,0.703,0.115,6.6,0.322,8.4,0.7,5.9,2.6,86,-3.5,0.312,94
339,Jonathan Schoop,4 Tms,3152,4.80%,21.90%,0.22,0.255,0.298,0.428,0.726,0.173,3.2,0.293,3,-8.8,-4.1,-1,364,-15.7,0.31,94
340,Connor Wong,BOS,960,5.80%,28.20%,0.21,0.256,0.311,0.404,0.715,0.148,4.9,0.343,0.7,1.7,1.6,-2.1,112,-2.3,0.311,94
341,Daniel Robertson,3 Tms,945,11.70%,25.70%,0.46,0.227,0.338,0.345,0.683,0.117,3.1,0.301,0.3,-2,1.6,-1.8,105,-9.6,0.307,94
342,Josh Smith,TEX,1077,9.20%,21.00%,0.44,0.229,0.323,0.347,0.67,0.118,4.2,0.278,-0.4,1.3,0.7,-0.7,117,-9.7,0.301,94
343,Dylan Carlson,2 Tms,1746,9.00%,23.20%,0.39,0.237,0.317,0.376,0.693,0.139,4.2,0.294,2.7,1.3,3.8,-1.5,195,-12.6,0.304,94
344,Tyler Naquin,3 Tms,1446,5.60%,24.60%,0.23,0.257,0.304,0.432,0.736,0.175,4.1,0.314,3.8,0.6,4.5,-2.3,172,-1.8,0.314,94
345,Will Benson,2 Tms,778,10.70%,35.50%,0.3,0.223,0.311,0.413,0.724,0.19,7.6,0.331,-1.1,1.3,-1.3,1.6,94,1.3,0.315,94
346,CJ Abrams,2 Tms,1518,5.10%,19.50%,0.26,0.246,0.302,0.402,0.704,0.156,7.6,0.284,3.2,1.7,4.9,6.6,169,-10.5,0.305,94
347,Tim Anderson,2 Tms,3618,3.80%,23.10%,0.16,0.277,0.308,0.408,0.716,0.131,5.6,0.342,13.9,-4.1,8.6,6.7,412,-24.8,0.308,94
348,Luis García Jr.,WSN,1773,4.60%,17.00%,0.27,0.27,0.302,0.41,0.712,0.14,4.7,0.306,-2.4,-0.6,-0.1,-2,200,-11.1,0.306,94
349,Kole Calhoun,LAA,1838,10.60%,23.30%,0.45,0.229,0.315,0.411,0.726,0.182,4,0.265,-2.3,-0.6,-1.3,0.3,212,-12.1,0.31,94
350,Mike Ford,6 Tms,781,10.00%,26.00%,0.38,0.205,0.298,0.402,0.7,0.197,1.4,0.232,-2.6,0.9,-2.9,-0.9,87,-7.9,0.303,93
351,Hunter Dozier,KCR,2294,8.30%,26.70%,0.31,0.238,0.305,0.421,0.727,0.183,5,0.3,-8.3,-2.3,1.7,-2.7,270,-6.2,0.312,93
352,Jake Marisnick,5 Tms,1126,6.00%,32.70%,0.18,0.231,0.293,0.426,0.719,0.195,6.7,0.312,5.3,0.4,2.1,1,126,-10.2,0.306,93
353,Nick Solak,3 Tms,974,7.60%,20.20%,0.38,0.252,0.327,0.372,0.7,0.12,4.7,0.302,3.7,-0.2,1.4,-0.4,113,-6,0.308,93
354,Edward Olivares,3 Tms,967,5.90%,18.70%,0.31,0.254,0.306,0.407,0.714,0.153,4.5,0.286,1.9,0.5,2.3,-3.2,111,-4.8,0.309,93
355,Adam Duvall,2 Tms,1413,6.90%,26.90%,0.26,0.233,0.294,0.461,0.756,0.229,3.4,0.268,0,5.3,4,-1.4,171,-0.3,0.318,93
356,Joey Bart,2 Tms,785,6.90%,32.00%,0.22,0.235,0.306,0.38,0.686,0.145,3.4,0.327,-1.4,1.2,-2.9,-1.1,86,-6.2,0.303,93
357,Kevin Kiermaier,TBR,1817,7.40%,23.90%,0.31,0.243,0.307,0.399,0.707,0.157,7.3,0.303,9.5,4,18.5,1.6,199,-23.1,0.303,93
358,Yairo Muñoz,3 Tms,626,6.40%,20.90%,0.31,0.268,0.319,0.396,0.716,0.128,4.3,0.323,-2,0.9,-0.8,-0.9,70,-5,0.307,93
359,Thairo Estrada,2 Tms,1705,4.60%,20.10%,0.23,0.251,0.3,0.394,0.694,0.143,5.6,0.291,5.7,2.6,3.4,2,186,-16.1,0.302,93
360,Odúbel Herrera,PHI,1988,6.00%,20.10%,0.3,0.26,0.31,0.419,0.728,0.159,4.5,0.303,1.8,2.6,1.5,-0.1,232,-6.3,0.312,93
361,Paul DeJong,5 Tms,3292,7.20%,27.50%,0.26,0.229,0.295,0.419,0.714,0.19,3.2,0.276,-1.7,2.5,-6.8,-4,371,-26.1,0.306,93
362,Scott Schebler,3 Tms,1091,8.40%,24.60%,0.34,0.229,0.309,0.436,0.744,0.206,3.4,0.263,0.6,1.2,1.8,-1.3,130,-0.7,0.318,93
363,Nick Williams,2 Tms,916,6.20%,27.80%,0.22,0.251,0.312,0.415,0.727,0.164,4,0.323,-1.1,1.1,-0.7,-1.4,106,-3.6,0.313,93
364,Luis Campusano,SDP,565,5.70%,15.20%,0.37,0.25,0.297,0.387,0.684,0.137,1.8,0.268,-3,-2.7,-2.3,-0.9,60,-6.6,0.298,92
365,Miguel Rojas,MIA,1503,6.60%,12.00%,0.55,0.276,0.331,0.377,0.708,0.102,3.7,0.302,-2.4,-4.9,-1.4,-0.8,169,-14.6,0.306,92
366,Austin Barnes,LAD,1071,11.80%,23.00%,0.51,0.23,0.336,0.362,0.699,0.132,4.6,0.288,0.1,-1.8,0.6,0.6,121,-9,0.308,92
367,Josh Rojas,2 Tms,2113,10.00%,22.80%,0.44,0.247,0.323,0.362,0.685,0.115,5.2,0.313,10,2.5,1.6,3.3,232,-19.3,0.303,92
368,Ezequiel Duran,TEX,944,5.20%,25.10%,0.21,0.257,0.302,0.388,0.69,0.13,4.2,0.327,-5,1.4,-2.3,-1.8,102,-9.9,0.301,92
369,Enrique Hernández,2 Tms,2907,9.00%,19.40%,0.46,0.237,0.31,0.409,0.719,0.171,3.8,0.267,8.2,-0.3,9.1,-1.1,333,-17.6,0.309,92
370,Bryson Stott,PHI,1677,7.60%,16.80%,0.45,0.256,0.315,0.381,0.695,0.125,5.9,0.289,3.6,1.1,4.1,8.1,186,-11.8,0.304,92
371,David Bote,CHC,1213,9.50%,26.70%,0.35,0.234,0.318,0.392,0.711,0.159,3.9,0.298,2.9,-3,1.6,-1.2,140,-7.4,0.309,92
372,Kevan Smith,2 Tms,692,5.10%,14.60%,0.35,0.276,0.322,0.387,0.709,0.111,2.4,0.309,-3.4,-3,-4.8,0.2,77,-6.8,0.307,92
373,Matt Davidson,4 Tms,1023,7.60%,34.80%,0.22,0.218,0.285,0.429,0.715,0.211,1.3,0.287,-5,-0.6,-5.6,-1.3,112,-10.3,0.306,91
374,MJ Melendez,KCR,1587,10.30%,26.10%,0.39,0.221,0.303,0.397,0.7,0.177,3.9,0.272,-1,3.2,2.1,-4.3,177,-10.5,0.305,91
