#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
206,Jedd Gyorko,3 Tms,1119,10.30%,21.80%,0.47,0.257,0.333,0.435,0.768,0.178,3.6,0.296,-5.2,-2.4,-4.4,0.4,146,10.5,0.33,106
207,Josh Jung,TEX,805,5.20%,29.60%,0.18,0.257,0.301,0.45,0.75,0.192,4.2,0.329,-4.2,1.1,-2.2,-1.1,101,4.5,0.322,106
208,Adam Jones,BAL,635,4.30%,17.80%,0.24,0.285,0.322,0.466,0.787,0.181,2.7,0.312,3.6,-1.9,1,-0.4,84,7,0.334,106
209,Adolis García,2 Tms,2572,7.10%,28.80%,0.25,0.239,0.298,0.451,0.749,0.212,5.2,0.291,3.2,1,3.1,2.3,320,15,0.32,106
210,Austin Hays,2 Tms,2204,5.70%,21.60%,0.27,0.261,0.313,0.432,0.745,0.171,3.8,0.308,-0.7,1.2,1.2,-4.5,275,11.8,0.321,106
211,Tyler Stephenson,CIN,1637,9.20%,23.40%,0.39,0.267,0.343,0.427,0.77,0.159,2.6,0.328,-2.3,-2.6,-4.9,-2.6,223,27.7,0.335,106
212,Avisaíl García,4 Tms,2578,6.20%,23.90%,0.26,0.27,0.325,0.442,0.766,0.172,3.8,0.325,0.2,-3.8,-0.7,-2,334,22.7,0.327,106
213,Joey Wendle,2 Tms,1507,6.00%,19.50%,0.31,0.275,0.33,0.416,0.746,0.141,6.2,0.328,3.5,1.6,6,0.7,186,4,0.32,106
214,Nolan Schanuel,LAA,739,11.90%,16.50%,0.72,0.255,0.354,0.357,0.71,0.102,3.5,0.293,,,-4.9,-0.2,92,4.6,0.319,105
215,Jean Segura,2 Tms,2600,6.10%,13.40%,0.45,0.291,0.34,0.424,0.764,0.133,5.2,0.32,9.5,-5.9,9.3,-0.1,339,22.9,0.328,105
216,Trevor Story,2 Tms,3391,8.30%,27.90%,0.3,0.264,0.331,0.493,0.824,0.229,6.2,0.331,7.9,5.3,7,8.8,498,88.9,0.348,105
217,Derek Dietrich,3 Tms,1396,7.30%,23.90%,0.31,0.24,0.332,0.432,0.764,0.192,4.1,0.285,-1,2.2,1.1,-1.3,181,12.1,0.329,105
218,Zach Neto,LAA,931,6.30%,23.30%,0.27,0.241,0.314,0.42,0.734,0.179,5,0.287,-1.1,0.3,0.9,0.9,116,5.2,0.32,105
219,Mike Brosseau,2 Tms,647,7.40%,29.50%,0.25,0.242,0.313,0.428,0.741,0.186,3.9,0.313,-2.1,1.2,0.3,0.9,80,2.1,0.32,105
220,Trevor Larnach,MIN,1093,10.60%,29.50%,0.36,0.236,0.323,0.403,0.726,0.167,3.6,0.314,-1.7,2.2,-2,-1.2,133,3.7,0.317,105
221,Hunter Renfroe,6 Tms,3195,7.60%,25.50%,0.3,0.237,0.299,0.474,0.772,0.236,2.8,0.266,-6.8,1.3,-5,-1.2,411,25.9,0.327,105
222,Gabriel Moreno,2 Tms,804,9.20%,16.80%,0.55,0.28,0.347,0.393,0.74,0.113,3.4,0.324,-4,-3.7,-1.6,-1.1,103,7,0.325,105
223,Travis d'Arnaud,4 Tms,967,7.40%,20.60%,0.36,0.261,0.317,0.455,0.773,0.195,1.8,0.289,-2.6,-2.1,-2,-0.8,125,4.6,0.326,105
224,Elly De La Cruz,CIN,1123,9.30%,32.20%,0.29,0.25,0.324,0.447,0.771,0.198,8.9,0.35,3,0.4,5.5,8.6,150,16.7,0.332,105
225,Jazz Chisholm Jr.,2 Tms,1814,7.70%,27.60%,0.28,0.249,0.311,0.446,0.757,0.197,7,0.308,4.7,3.6,12.6,5.9,233,16.7,0.325,105
226,Kyle Lewis,2 Tms,580,10.50%,30.50%,0.34,0.235,0.317,0.414,0.732,0.179,3.3,0.303,0.2,0.7,0.4,0.5,72,0.4,0.317,105
227,TJ Friedl,CIN,1191,8.10%,15.40%,0.53,0.256,0.332,0.434,0.766,0.179,6.8,0.272,5,3.3,5.9,2.8,159,17.9,0.332,104
228,J.P. Crawford,2 Tms,3232,11.40%,18.60%,0.61,0.245,0.338,0.368,0.707,0.123,4,0.292,4.4,0.2,5.3,-4.7,385,-3.4,0.314,104
229,Spencer Steer,CIN,1429,10.60%,21.10%,0.5,0.245,0.335,0.425,0.76,0.18,5.2,0.288,1.1,1.7,1.2,2.5,192,21.5,0.332,104
230,Eddie Rosario,3 Tms,3200,5.70%,18.20%,0.31,0.268,0.309,0.465,0.774,0.197,4.2,0.29,3.9,4.7,2.4,-2.4,412,24.6,0.326,104
231,Brandon Marsh,2 Tms,1669,9.40%,32.80%,0.29,0.256,0.33,0.41,0.739,0.153,6.1,0.374,5.2,3.7,6.9,2.3,210,12.7,0.322,104
232,Logan O'Hoppe,LAA,737,6.60%,28.00%,0.24,0.243,0.303,0.431,0.734,0.188,2.2,0.297,-1.6,-0.6,-4.2,-2.5,91,3.4,0.318,104
233,Max Kepler,MIN,3797,9.70%,18.30%,0.53,0.238,0.319,0.43,0.749,0.192,3.9,0.257,2.9,7,3.2,-3.5,476,19.5,0.322,104
234,Nolan Gorman,STL,1179,9.80%,34.10%,0.29,0.222,0.301,0.435,0.737,0.213,3.4,0.292,0.1,2.7,-2.4,-0.1,145,5.2,0.318,104
235,Austin Slater,3 Tms,1698,10.60%,27.70%,0.38,0.252,0.342,0.385,0.728,0.134,5.7,0.34,8.5,-2.3,2.8,4.2,211,8,0.321,104
236,Gary Sánchez,5 Tms,2981,9.50%,26.90%,0.35,0.219,0.304,0.448,0.752,0.229,2.2,0.245,-9.8,-1.2,-11.5,-2.3,373,14.4,0.321,104
237,Andrew Benintendi,4 Tms,4188,9.40%,17.50%,0.53,0.269,0.34,0.414,0.753,0.144,4.7,0.309,3.3,6.1,0.2,0.2,538,35.2,0.326,104
238,Jordan Walker,STL,643,7.30%,24.00%,0.31,0.255,0.317,0.423,0.74,0.168,3.9,0.31,0.2,-0.4,1.6,-1.3,80,2.8,0.321,104
239,Jurickson Profar,4 Tms,3643,10.30%,15.50%,0.66,0.247,0.335,0.404,0.739,0.158,4.6,0.27,0.1,-1.2,3.1,1.2,459,24.3,0.323,103
240,Alec Bohm,PHI,2445,6.50%,17.90%,0.37,0.277,0.327,0.416,0.743,0.139,3.3,0.317,-2.3,-5.7,-6,-3.1,307,16.9,0.322,103
241,Juan Yepez,2 Tms,588,6.50%,20.90%,0.31,0.258,0.307,0.423,0.73,0.165,2,0.295,-2.4,0.3,-3.3,-1.2,71,2.2,0.316,103
242,Lane Thomas,3 Tms,2106,7.90%,25.10%,0.31,0.247,0.313,0.428,0.741,0.181,5.8,0.302,2.5,1.7,6.5,-0.5,261,11,0.32,103
243,Harold Ramírez,4 Tms,1933,4.10%,18.10%,0.23,0.285,0.322,0.406,0.729,0.121,3.7,0.333,5,0.7,1.7,-3.9,232,-0.7,0.315,103
244,Davis Schneider,TOR,595,11.40%,31.40%,0.36,0.211,0.311,0.402,0.712,0.191,4.8,0.281,-0.7,0.7,-1.1,0.4,71,0.4,0.312,103
245,Brian Anderson,3 Tms,2527,9.40%,24.30%,0.39,0.251,0.336,0.403,0.738,0.152,3.5,0.316,3.3,-3,3.3,-2.8,317,12.4,0.322,103
246,Eduardo Escobar,2 Tms,2051,7.30%,19.30%,0.38,0.26,0.317,0.47,0.787,0.21,4.5,0.285,1.7,2.9,0.6,-0.9,267,16.8,0.328,103
247,Jake McCarthy,ARI,1231,7.10%,19.40%,0.37,0.27,0.338,0.388,0.726,0.117,7.7,0.328,5.6,1.8,8.7,7,153,7.7,0.321,103
248,Andrés Giménez,2 Tms,2148,5.10%,18.80%,0.27,0.261,0.322,0.393,0.715,0.133,6.3,0.304,1.6,2.6,4.1,10.4,253,-1.6,0.313,103
249,Alex Avila,3 Tms,610,16.20%,34.40%,0.47,0.226,0.353,0.392,0.745,0.166,1.2,0.336,-2.4,-0.6,-1.8,-0.8,78,4.9,0.328,102
250,Brad Miller,5 Tms,1379,12.30%,28.60%,0.43,0.228,0.326,0.427,0.753,0.198,4.6,0.289,-3.6,3.1,-3.9,0,174,6.6,0.323,102
251,DJ Stewart,2 Tms,1001,12.80%,27.10%,0.47,0.212,0.328,0.401,0.729,0.189,2.2,0.256,0,1.5,1.5,-1.9,125,3.7,0.32,102
252,Miguel Andujar,3 Tms,1439,4.20%,15.80%,0.27,0.273,0.306,0.434,0.739,0.16,3.7,0.299,2.4,-1,-0.4,-1,173,3.2,0.317,102
253,Dylan Moore,SEA,1679,10.80%,29.80%,0.36,0.206,0.316,0.384,0.701,0.178,7,0.275,4.5,-0.2,4.5,3.8,194,-8.4,0.309,102
254,Cavan Biggio,3 Tms,1854,13.50%,27.30%,0.5,0.225,0.341,0.379,0.72,0.153,5.1,0.297,0.6,5.7,2.2,2.9,231,5.6,0.319,102
255,Nico Hoerner,CHC,2224,6.90%,12.00%,0.58,0.278,0.338,0.381,0.719,0.103,6.2,0.306,7,0,6.4,8.4,268,3,0.316,102
256,Seth Brown,OAK,1728,7.90%,27.40%,0.29,0.228,0.292,0.426,0.718,0.198,4.1,0.276,-3.8,3.4,-4,0.2,198,-6.6,0.308,102
257,Keston Hiura,2 Tms,1084,7.20%,36.00%,0.2,0.235,0.313,0.445,0.758,0.209,4.8,0.334,0.7,0.3,-3,-0.1,140,7.7,0.324,102
258,JJ Bleday,2 Tms,1183,11.70%,22.30%,0.53,0.216,0.311,0.391,0.703,0.175,4.2,0.255,-0.2,1.1,0.1,-1.7,136,-3.3,0.309,102
259,Renato Núñez,4 Tms,1147,7.10%,25.50%,0.28,0.246,0.31,0.457,0.767,0.211,1.7,0.287,-3,0.1,-3.3,-0.8,148,6.2,0.325,102
260,Andrew Vaughn,CHW,2258,6.50%,20.30%,0.32,0.253,0.31,0.415,0.725,0.162,2.3,0.29,-7.8,-3.5,-10.3,-2.9,270,2.7,0.315,102
261,Christopher Morel,2 Tms,1465,9.20%,29.30%,0.31,0.223,0.301,0.419,0.721,0.197,4.8,0.277,4.4,1.3,5.8,-3.8,172,-0.1,0.312,102
262,Clint Frazier,3 Tms,928,11.00%,29.00%,0.38,0.235,0.327,0.412,0.739,0.178,5,0.311,-3.9,-1,0,-0.1,116,1.6,0.32,102
263,Evan Gattis,HOU,776,6.60%,19.50%,0.34,0.242,0.295,0.454,0.749,0.212,1.8,0.253,-3.4,-1.8,-3.4,-0.6,92,-0.3,0.317,101
264,Didi Gregorius,2 Tms,2128,6.10%,13.50%,0.45,0.259,0.309,0.457,0.765,0.198,4.3,0.258,5.1,4.5,6.2,-1.2,267,8.7,0.323,101
265,Jake Fraley,2 Tms,1344,10.20%,21.70%,0.47,0.249,0.333,0.405,0.738,0.157,5,0.295,0.7,1.8,0.1,3.5,170,9.7,0.323,101
266,Travis Shaw,3 Tms,1893,11.30%,23.90%,0.47,0.234,0.326,0.44,0.766,0.206,2.8,0.268,-5.4,-0.7,-6.8,1.1,243,14,0.327,101
267,Ha-Seong Kim,SDP,1976,10.40%,18.80%,0.55,0.242,0.326,0.38,0.706,0.137,5.6,0.281,2.5,1.8,3.1,5.5,230,-4.1,0.311,101
268,Alex Verdugo,3 Tms,3180,7.50%,15.10%,0.5,0.272,0.328,0.414,0.742,0.143,3.8,0.301,4.3,-2.7,0.1,-4,397,15.8,0.32,101
269,Jeimer Candelario,4 Tms,3485,9.00%,23.60%,0.38,0.241,0.319,0.417,0.736,0.177,3.9,0.292,0.1,4.9,2.6,-3.3,429,11.5,0.319,101
270,Jordan Luplow,6 Tms,1060,11.90%,24.90%,0.48,0.212,0.314,0.423,0.737,0.21,4.3,0.242,2.1,-1.9,2,-2,131,2.5,0.318,100
271,Daniel Descalso,ARI,821,13.60%,24.20%,0.56,0.235,0.343,0.416,0.758,0.18,4.9,0.292,1.3,1.7,1.3,-0.1,106,7.8,0.329,100
272,Tyrone Taylor,2 Tms,1317,5.50%,23.20%,0.24,0.241,0.296,0.438,0.734,0.197,6.3,0.283,3.8,-2.5,5.7,2.4,158,2.5,0.315,100
273,Zack Gelof,OAK,847,7.60%,31.90%,0.24,0.231,0.294,0.412,0.706,0.181,6.3,0.309,2.5,-0.4,2.1,4.4,95,-5.2,0.305,100
274,Matt Vierling,2 Tms,1531,7.30%,21.10%,0.35,0.259,0.317,0.397,0.714,0.138,5.1,0.312,3.5,-0.2,5.8,-2.8,178,-2.7,0.311,100
275,Luis Urías,4 Tms,1750,10.30%,22.20%,0.47,0.232,0.331,0.386,0.717,0.154,3,0.276,-0.5,-1.8,0.9,-2.6,213,3.2,0.317,100
276,Danny Jansen,2 Tms,1704,9.70%,19.80%,0.49,0.22,0.308,0.419,0.727,0.198,1.8,0.234,-1.1,2.7,-2.7,-2,203,-2.1,0.315,100
277,Jeremy Peña,HOU,1842,4.90%,20.40%,0.24,0.261,0.307,0.399,0.707,0.138,5.1,0.308,3.1,1.7,6.3,-1.1,210,-7.6,0.308,100
278,Alex Kirilloff,MIN,884,7.00%,24.30%,0.29,0.248,0.309,0.412,0.721,0.164,3.2,0.302,-1.9,0.6,-3.4,-1.2,104,-2,0.311,99
279,Francisco Alvarez,NYM,779,8.50%,25.70%,0.33,0.221,0.294,0.423,0.717,0.202,3.2,0.252,-1.7,-2.6,-3.8,-1.1,90,-2.9,0.31,99
280,César Hernández,3 Tms,2850,10.00%,19.30%,0.52,0.266,0.343,0.395,0.738,0.129,4.7,0.316,3.9,-1.2,1.7,0.9,356,9.5,0.322,99
281,Oscar Gonzalez,CLE,562,3.60%,21.50%,0.17,0.269,0.299,0.413,0.712,0.144,2.4,0.324,0.4,0,1.9,-1.2,63,-2.9,0.307,99
282,Gavin Lux,LAD,1490,9.70%,22.20%,0.44,0.252,0.326,0.383,0.709,0.131,5.5,0.314,5.5,3.9,5.4,-0.1,174,-1.7,0.311,99
283,Tommy Edman,2 Tms,2578,6.30%,16.60%,0.38,0.263,0.317,0.408,0.726,0.145,7.1,0.298,10,2.8,11.4,12.5,308,-2.3,0.314,99
284,Colin Moran,3 Tms,1667,8.50%,22.10%,0.38,0.265,0.329,0.419,0.748,0.154,1.7,0.317,-13.4,-0.9,-8.7,-2.2,208,6,0.321,99
285,Omar Narváez,4 Tms,2112,10.60%,19.40%,0.55,0.254,0.338,0.382,0.72,0.128,1.4,0.298,-6.1,-0.2,-9.5,-2.6,255,-0.8,0.316,99
286,Kyle Seager,SEA,1723,8.10%,19.40%,0.42,0.236,0.304,0.436,0.74,0.199,2.5,0.254,-4.1,3.5,-0.2,-1.8,202,-6.3,0.314,99
287,Austin Jackson,3 Tms,693,8.50%,28.40%,0.3,0.278,0.339,0.396,0.735,0.118,3.9,0.386,2.7,-1.8,0.4,-0.9,84,1.3,0.319,99
288,Jesús Sánchez,MIA,1562,8.30%,27.40%,0.3,0.24,0.308,0.428,0.736,0.188,4.6,0.3,-5.2,-1.3,-1.4,0.2,191,5.6,0.317,99
289,Stephen Piscotty,2 Tms,1897,8.10%,22.90%,0.35,0.243,0.312,0.412,0.724,0.169,3,0.287,0.7,-4.4,-1.8,-0.9,221,-7.7,0.313,99
290,Brian Goodwin,5 Tms,1351,9.40%,27.20%,0.35,0.243,0.318,0.44,0.758,0.197,5,0.304,-3.8,4.7,-1,1.7,170,4.2,0.322,99
291,Matt Duffy,3 Tms,1298,8.30%,18.10%,0.46,0.278,0.348,0.354,0.702,0.075,3.4,0.339,-4.4,-4.2,-0.8,-0.4,152,-1.8,0.313,99
292,Matt Adams,3 Tms,1088,6.60%,27.00%,0.24,0.244,0.298,0.482,0.78,0.238,1.5,0.279,-3,-0.1,-5.9,-0.5,138,5.7,0.325,99
293,Jared Walsh,2 Tms,1410,7.40%,28.80%,0.26,0.239,0.301,0.438,0.739,0.199,3.1,0.3,-3.7,2.7,-3.7,-1.2,170,1.2,0.314,99
294,Starlin Castro,3 Tms,2205,5.80%,18.30%,0.32,0.281,0.322,0.42,0.742,0.139,3,0.323,1.3,-5,2.3,-2.3,266,-2.3,0.317,98
