#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
34,Tyler Durna,CHC,A,22-22,300,10.30%,12.70%,0.82,0.304,0.387,0.437,0.824,0.133,2.9,0.342,-2.2,49,14.3,0.385,141
35,TJ Friedl,CIN,A,21-21,292,9.90%,15.80%,0.63,0.284,0.378,0.472,0.85,0.188,7.7,0.328,-0.5,48,14,0.385,141
36,Jared Walker,LAD,A,21-22,386,10.10%,28.50%,0.35,0.251,0.343,0.518,0.861,0.266,6.4,0.316,0.5,63,17.9,0.384,140
37,Jose Siri,CIN,A,21-21,552,6.00%,23.60%,0.25,0.293,0.341,0.53,0.871,0.237,8.9,0.349,4.3,91,26.1,0.384,140
38,Stuart Fairchild,CIN,A,22-22,276,11.20%,23.60%,0.48,0.277,0.377,0.46,0.836,0.183,7.9,0.352,1.7,44,12.6,0.384,140
39,Richie Fecteau,LAA,A,23-23,246,6.10%,12.60%,0.48,0.315,0.367,0.491,0.858,0.176,3.8,0.333,-0.4,40,11.4,0.382,139
40,Dwanya Williams-Sutton,SDP,A,21-21,399,15.00%,24.80%,0.61,0.236,0.411,0.367,0.778,0.131,5.6,0.317,1.4,64,18.1,0.382,139
41,Ryan Costello,SEA,A,22-22,406,12.60%,20.20%,0.62,0.266,0.36,0.486,0.845,0.22,3.1,0.299,-1.3,65,18.1,0.382,139
42,Michael Curry,SDP,A,21-21,330,12.40%,21.20%,0.59,0.285,0.379,0.437,0.815,0.151,2.5,0.351,0.1,53,15,0.382,139
43,Robbie Tenerowicz,TBR,A,22-22,390,8.20%,17.20%,0.48,0.295,0.367,0.479,0.845,0.183,4,0.338,-0.4,64,17.9,0.382,139
44,Chris Williams,MIN,A,22-22,233,18.00%,24.50%,0.74,0.218,0.356,0.473,0.83,0.255,4,0.25,-0.1,37,10.5,0.382,139
45,Michael Davis,MIN,A,22-23,226,7.50%,29.20%,0.26,0.285,0.341,0.507,0.848,0.222,5.9,0.376,0.5,36,10.1,0.382,139
46,Ryan Grotjohn,ARI,A,23-23,335,7.50%,16.10%,0.46,0.303,0.361,0.488,0.849,0.185,5.6,0.342,-1.5,53,14.8,0.382,138
