#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
470,Devin Hairston,MIL,A,21-22,326,12.30%,26.70%,0.46,0.214,0.314,0.267,0.581,0.053,4.5,0.299,-0.7,28,-10.4,0.282,73
471,Trey Dawson,HOU,A,21-22,472,10.20%,26.70%,0.38,0.202,0.297,0.28,0.576,0.077,5.1,0.28,-1.6,40,-14,0.282,74
472,LJ Talley,TOR,A,22-22,208,8.70%,18.80%,0.46,0.191,0.266,0.333,0.599,0.142,4.4,0.204,0.1,18,-6.1,0.282,75
473,Joseph Rosa,SEA,A,20-21,501,10.00%,23.60%,0.42,0.217,0.303,0.283,0.585,0.066,5.7,0.281,-2.8,42,-16,0.282,72
474,Jared Akins,MIN,A,21-22,431,6.50%,33.60%,0.19,0.202,0.26,0.343,0.603,0.141,6.9,0.284,-0.1,37,-12.9,0.282,74
475,Chris Singleton,CHC,A,21-21,406,5.40%,24.40%,0.22,0.223,0.272,0.337,0.609,0.114,4.8,0.291,-0.5,34,-13.1,0.281,72
476,Edwin Figuera,STL,A,20-21,322,3.70%,20.50%,0.18,0.241,0.297,0.289,0.586,0.048,5.2,0.306,-0.7,27,-9.7,0.281,74
477,Skyler Weber,OAK,A,23-24,612,10.30%,22.50%,0.46,0.207,0.294,0.287,0.581,0.08,5,0.268,1.6,51,-19.1,0.28,73
478,Tony Pena,TBR,A,21-21,288,7.30%,23.30%,0.31,0.235,0.296,0.284,0.58,0.049,4.4,0.311,-0.3,24,-8.8,0.28,73
479,Randy Ventura,CIN,A,19-21,402,7.00%,21.10%,0.33,0.242,0.295,0.296,0.591,0.054,7,0.309,3.1,34,-12.6,0.28,73
480,Keinner Piña,LAA,A,21-22,469,6.20%,21.30%,0.29,0.248,0.3,0.29,0.59,0.042,3.6,0.316,0.5,39,-15.4,0.28,72
481,Yeison Coca,MIL,A,20-20,504,9.30%,29.40%,0.32,0.203,0.28,0.309,0.589,0.106,7,0.286,0,43,-15.6,0.28,73
482,Jesus Lujano,MIL,A,20-20,490,6.10%,16.90%,0.36,0.24,0.292,0.297,0.589,0.056,6.9,0.289,2.4,41,-15.2,0.279,73
483,Livan Soto,LAA,A,19-19,282,11.30%,14.20%,0.8,0.22,0.311,0.253,0.564,0.033,3.5,0.257,0.3,24,-8.8,0.279,73
484,Raymond Henderson,HOU,A,21-21,226,8.40%,24.30%,0.35,0.208,0.288,0.31,0.597,0.102,1.7,0.264,0,19,-7.7,0.279,71
485,Mitchell Hansen,LAD,A,21-22,416,9.40%,25.70%,0.36,0.208,0.284,0.318,0.602,0.111,6.1,0.268,0.7,34,-14.2,0.279,71
486,Levi Jordan,CHC,A,23-23,256,7.40%,18.80%,0.4,0.221,0.289,0.286,0.574,0.065,4.8,0.275,-0.3,21,-8.4,0.277,72
487,Josh Shaw,STL,A,22-22,299,6.70%,13.00%,0.51,0.23,0.294,0.277,0.572,0.047,2.8,0.268,-1.9,25,-9.8,0.277,72
488,Rafael Narea,CHC,A,20-21,561,7.70%,16.90%,0.45,0.226,0.294,0.289,0.582,0.063,4,0.272,-0.2,45,-19.6,0.277,70
489,Ryan Aguilar,MIL,A,22-22,409,12.00%,23.50%,0.51,0.206,0.305,0.269,0.574,0.063,5.8,0.276,0.6,34,-14.6,0.277,70
490,Chad McClanahan,MIL,A,20-21,538,11.70%,26.60%,0.44,0.19,0.299,0.253,0.553,0.063,3.6,0.264,-0.4,43,-18.8,0.275,70
491,Eddie Hernandez,ARI,A,20-20,295,7.80%,26.10%,0.3,0.217,0.282,0.3,0.582,0.082,4.8,0.298,-0.5,24,-10.2,0.275,70
492,Eguy Rosario,SDP,A,17-17,204,9.80%,25.00%,0.39,0.206,0.296,0.278,0.573,0.072,6.9,0.287,1.3,16,-7.7,0.274,68
493,Wadye Ynfante,STL,A,21-21,332,6.30%,28.30%,0.22,0.219,0.286,0.279,0.565,0.06,5.5,0.306,0.3,27,-11.8,0.274,69
494,Miles Gordon,CIN,A,20-21,487,8.00%,23.20%,0.35,0.209,0.276,0.307,0.583,0.098,8.4,0.266,1.8,38,-18,0.273,68
495,Alexis Pantoja,CLE,A,21-21,325,4.60%,15.70%,0.29,0.251,0.284,0.307,0.591,0.056,4.7,0.294,1.2,26,-12.5,0.273,67
496,Starling Heredia,LAD,A,18-19,330,7.90%,36.10%,0.22,0.192,0.261,0.325,0.585,0.132,6,0.29,1.1,25,-12.9,0.272,66
497,Joey Rose,ARI,A,20-21,382,9.70%,31.20%,0.31,0.188,0.275,0.295,0.57,0.107,4.2,0.269,0.3,30,-14.4,0.272,67
498,Osmy Gregorio,TBR,A,21-21,454,7.90%,24.40%,0.32,0.201,0.272,0.297,0.568,0.096,6.8,0.255,2,36,-16.6,0.272,68
499,Manny Jefferson,ARI,A,22-23,502,7.80%,22.30%,0.35,0.215,0.287,0.291,0.578,0.076,5.1,0.276,0.6,39,-19.9,0.272,66
500,Collin Theroux,OAK,A,23-23,311,12.20%,46.00%,0.27,0.147,0.251,0.33,0.58,0.183,2.6,0.231,0.2,24,-12.6,0.271,66
