#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
406,Jahmai Jones,LAA,A,19-19,86,346,387,94,63,18,4,9,54,30,32,1,63,3,1,5,7,18,7,0.272
407,Lucius Fox,TBR,A,19-19,77,302,345,84,66,13,3,2,45,27,33,0,80,7,1,2,9,27,10,0.278
408,Zack Short,CHC,A,22-22,66,236,300,56,29,17,3,7,50,26,54,1,54,7,1,2,3,15,5,0.237
409,Ben DeLuzio,ARI,A,22-22,46,186,202,59,42,14,3,0,20,18,13,0,33,2,1,0,2,13,7,0.317
410,Mike Brosseau,TBR,A,23-23,82,302,344,96,67,21,2,6,50,32,26,0,48,12,1,3,9,5,7,0.318
411,Chuckie Robinson,HOU,A,22-22,108,430,468,118,69,32,2,15,69,77,31,1,98,5,1,0,15,7,1,0.274
412,Gilberto Celestino,MIN,A,20-20,117,450,503,124,87,24,3,10,52,51,48,1,81,4,1,0,20,14,8,0.276
413,Mario Feliciano,MIL,A,18-18,104,402,446,101,79,16,2,4,47,36,34,1,72,7,1,2,7,10,2,0.251
414,Jonathan Araúz,HOU,A,18-19,90,331,386,89,63,14,8,4,54,33,50,1,56,3,1,1,4,7,7,0.269
415,Jake Meyers,HOU,A,22-22,61,225,257,68,42,18,3,5,35,22,23,0,43,7,1,1,4,13,7,0.302
416,Ernie Clement,CLE,A,22-22,54,221,247,59,43,14,1,1,34,15,23,1,21,1,1,1,4,11,6,0.267
417,Jack Larsen,SEA,A,23-23,88,305,365,81,47,17,5,12,52,58,54,2,107,5,1,0,1,2,4,0.266
418,Mark Kolozsvary,CIN,A,22-22,82,275,310,62,42,16,1,3,26,27,24,0,76,10,1,0,5,3,0,0.225
419,Griffin Conine,TOR,A,21-21,80,304,348,86,43,19,2,22,59,64,38,2,125,5,1,0,1,2,0,0.283
420,Esteury Ruiz,SDP,A,19-19,117,439,493,111,74,20,5,12,63,53,38,1,141,9,1,6,1,49,11,0.253
421,Jeter Downs,CIN,A,19-19,120,455,524,117,79,23,2,13,63,47,52,1,103,14,1,2,5,37,10,0.257
422,Luis Campusano,SDP,A,19-19,70,260,284,75,61,11,0,3,26,40,19,0,43,4,1,0,9,0,1,0.288
423,Tyler Freeman,CLE,A,20-20,61,236,272,69,47,16,3,3,51,24,18,0,28,17,1,0,3,11,4,0.292
424,Michael Siani,CIN,A,19-19,121,466,531,118,96,10,6,6,75,39,46,1,109,10,1,8,7,45,15,0.253
425,Nelson Velázquez,CHC,A,19-20,103,374,405,96,71,17,4,4,39,41,28,0,120,1,1,1,7,8,3,0.257
426,Jose Barrero,CIN,A,20-20,125,482,517,118,86,22,4,6,61,53,19,0,112,12,1,3,11,13,9,0.245
427,Jordyn Adams,LAA,A,19-19,97,372,428,93,69,15,2,7,52,31,50,0,94,5,1,0,7,12,5,0.25
428,Alek Thomas,ARI,A,19-19,91,353,402,110,74,21,7,8,63,48,43,2,72,5,1,0,7,11,6,0.312
429,Andre Lipcius,DET,A,21-21,67,253,283,69,51,16,0,2,32,29,27,0,57,1,1,1,5,3,2,0.273
430,Spencer Steer,MIN,A,21-21,44,173,201,45,29,12,2,2,26,20,19,0,28,8,1,0,2,5,1,0.26
431,Kevin Williams Jr.,LAA,A,22-22,91,347,381,85,60,18,3,4,27,35,28,0,111,2,1,3,4,3,4,0.245
432,Brandon Benson,STL,A,22-23,71,245,265,41,28,7,0,6,19,21,18,0,90,1,1,0,3,3,1,0.167
433,Marcos Brito,OAK,A,19-19,62,204,228,37,27,8,0,2,21,13,22,0,67,0,1,1,2,3,4,0.181
434,Trey Hair,TBR,A,23-23,58,217,243,63,40,17,3,3,34,22,18,0,42,7,1,0,3,5,3,0.29
435,Louis Boyd,SEA,A,23-24,69,243,266,54,47,4,1,2,34,14,16,0,56,5,1,1,7,8,2,0.222
436,Marcus Chiu,LAD,A,21-21,54,181,218,40,22,8,1,9,33,22,18,0,55,18,1,0,2,9,2,0.221
437,Cody Bohanek,HOU,A,21-22,54,175,208,41,32,3,2,4,27,18,23,0,43,9,1,0,2,7,2,0.234
438,Sam McMillan,DET,A,20-20,72,220,280,53,41,10,0,2,36,19,47,0,50,11,1,1,6,6,6,0.241
439,Je'Von Ward,MIL,A,19-19,109,373,423,84,59,16,7,2,35,46,47,0,107,0,1,2,7,7,6,0.225
440,Zach Scott,MIA,A,23-24,106,329,364,67,58,7,0,2,32,16,31,0,106,1,1,2,8,1,2,0.204
441,Chandler Taylor,HOU,A,22-22,63,215,262,46,26,9,2,9,26,27,46,0,92,0,1,0,5,3,8,0.214
442,Ross Adolph,HOU,A,22-22,71,238,288,53,27,15,5,6,45,24,37,0,99,12,1,0,2,9,8,0.223
443,Keegan McGovern,SEA,A,22-22,65,239,271,64,35,12,2,15,35,44,28,3,66,3,1,0,8,1,1,0.268
